,Name,Url,Rating,Tags,Description
0,Modern Application Development with Python on AWS,https://www.coursera.org/specializations/aws-python-serverless-development,4.7,"Amazon Web Services, Application Programming Interfaces, Cloud API, Cloud Computing, Cloud Load Balancing, Computer Architecture, Computer Networking, Computer Programming, Computer Programming Tools, Data Management, Database Design, Database Theory, Databases, Distributed Computing Architecture, Network Architecture, Network Security, NoSQL, SQL, Security Engineering, Software Engineering, Software Testing, Statistical Programming, Theoretical Computer Science, Web","several <ais-highlight-0000000000>AWS</ais-highlight-0000000000> compute services, different storage and database offerings that <ais-highlight-0000000000>AWS</ais-highlight-0000000000> provides, <ais-highlight-0000000000>AWS</ais-highlight-0000000000>â networking capabilities, monitoring capabilities and the <ais-highlight-0000000000>AWS</ais-highlight-0000000000>"
1,DevOps on AWS,https://www.coursera.org/specializations/aws-devops,4.8,"Amazon Web Services, Cloud Computing, Cloud Infrastructure, Cloud Load Balancing, Computer Networking, Continuous Delivery, Continuous Integration, Databases, DevOps, Devops Tools, Network Security, Security Engineering, Web","DevOps on <ais-highlight-0000000000>AWS</ais-highlight-0000000000> specialization teaches you how to use the combination of DevOps philosophies, practices and tools to develop, deploy"
2,AWS Fundamentals,https://www.coursera.org/specializations/aws-fundamentals,4.6,"Amazon Web Services, Application Programming Interfaces, Cloud API, Cloud Computing, Cloud Load Balancing, Cloud Storage, Computer Architecture, Computer Networking, Cryptography, Database Design, Database Theory, Databases, Network Architecture, Network Model, Network Security, Security, Security Engineering, Theoretical Computer Science, Web","<ais-highlight-0000000000>AWS</ais-highlight-0000000000> security concepts, strategies for migrating from on-premises to <ais-highlight-0000000000>AWS</ais-highlight-0000000000>, and basics of building serverless applications with <ais-highlight-0000000000>AWS</ais-highlight-0000000000>. Additionally"
3,AWS Cloud Practitioner Essentials,https://www.coursera.org/learn/aws-cloud-practitioner-essentials,4.8,"Cloud Management, Security, Amazon Web Services, Cloud Computing Security, Cloud Infrastructure, Cloud Load Balancing, Web, Cloud Computing","Welcome to <ais-highlight-0000000000>AWS</ais-highlight-0000000000> Cloud Practitioner Essentials. If youâre new to the cloud, whether youâre in a technical or"
4,Modern Application Development with Java on AWS,https://www.coursera.org/specializations/aws-java-serverless-development,4.8,"Amazon Web Services, Cloud API, Cloud Applications, Cloud Computing, Cloud Load Balancing, Communication, Computer Architecture, Computer Networking, Computer Programming, Data Management, Database Design, Database Theory, Databases, DevOps, Github, Mathematics, Microservices, Network Architecture, Network Security, NoSQL, Other Programming Languages, Project Management, SQL, Security Engineering, Software Architecture, Software As A Service, Software Engineering, Statistical Programming, Strategy and Operations, Theoretical Computer Science, Web","several <ais-highlight-0000000000>AWS</ais-highlight-0000000000> compute services, different storage and database offerings that <ais-highlight-0000000000>AWS</ais-highlight-0000000000> provides, <ais-highlight-0000000000>AWS</ais-highlight-0000000000>â networking capabilities, monitoring capabilities and the <ais-highlight-0000000000>AWS</ais-highlight-0000000000>"
5,Practical Data Science on the AWS Cloud,https://www.coursera.org/specializations/practical-data-science,4.5,"Deep Learning, Machine Learning, Natural Language Processing",together these disciplines using purpose-built ML tools in the <ais-highlight-0000000000>AWS</ais-highlight-0000000000> cloud. It helps you develop the practical skills to
6,Exam Prep: AWS Certified Solutions Architect - Associate,https://www.coursera.org/learn/aws-certified-solutions-architect-associate,4.4,"Amazon Web Services, Cloud Computing",This new intermediate-level course from Amazon Web Services (<ais-highlight-0000000000>AWS</ais-highlight-0000000000>) is designed to help you to assess your preparedness for
7,Modern Application Development with Node.js on AWS,https://www.coursera.org/specializations/aws-nodejs-serverless-development,4.8,"Amazon Web Services, Cloud API, Cloud Applications, Cloud Computing, Cloud Load Balancing, Cloud Platforms, Computer Architecture, Computer Networking, Computer Programming, Computer Programming Tools, Data Management, Database Design, Database Theory, Databases, Javascript, Network Architecture, Network Security, NoSQL, Operating Systems, SQL, Security Engineering, Software Architecture, Software As A Service, Software Engineering, Software Security, Statistical Programming, System Security, Theoretical Computer Science, Web","several <ais-highlight-0000000000>AWS</ais-highlight-0000000000> compute services, different storage and database offerings that <ais-highlight-0000000000>AWS</ais-highlight-0000000000> provides, <ais-highlight-0000000000>AWS</ais-highlight-0000000000>â networking capabilities, monitoring capabilities and the <ais-highlight-0000000000>AWS</ais-highlight-0000000000>"
8,AWS S3 Basics,https://www.coursera.org/projects/aws-s3-basics,4.5,"Amazon Web Services, Web, Cloud Computing",need an <ais-highlight-0000000000>AWS</ais-highlight-0000000000> account to complete this project. All the resources used in this project come under <ais-highlight-0000000000>AWS</ais-highlight-0000000000> free-tier.
9,Getting Started with Data Analytics on AWS,https://www.coursera.org/learn/getting-started-data-analytics-aws,4.5,"Analysis, Data Analysis, Amazon Web Services, Analytics, Cloud Storage, Cloud Computing, Web","a simple, but powerful dataset available by default in every <ais-highlight-0000000000>AWS</ais-highlight-0000000000> account: the logs from <ais-highlight-0000000000>AWS</ais-highlight-0000000000> CloudTrail. The CloudTrail service"
